what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1481203983734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481203983876
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1481203984178
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1481203984208
opened,view,org.testng.eclipse,6.9.13.201609291640,"org.testng.eclipse.ResultView",1481203986382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481203987379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481203988952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481203988952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481203989076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481203989281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481203989863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481204027095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481204091869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481204101530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481204159698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481204164753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481204164937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481204166436
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481204166680
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1481204167219
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1481204167851
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1481204167871
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1481204287729
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1481204287730
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1481204287730
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1481204287732
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1481204287732
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1481204287732
