what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1500107684553
ws,sysinfo,,,"win32",1500107684553
locale,sysinfo,,,"en_IN",1500107684553
processors,sysinfo,,,"1",1500107684553
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1500107684553
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1500107684553
java.specification.name,sysinfo,,,"Java Platform API Specification",1500107684553
java.specification.vendor,sysinfo,,,"Oracle Corporation",1500107684553
java.specification.version,sysinfo,,,"1.7",1500107684553
java.vendor,sysinfo,,,"Oracle Corporation",1500107684553
java.version,sysinfo,,,"1.7.0_79",1500107684553
java.vm.info,sysinfo,,,"mixed mode, sharing",1500107684553
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1500107684553
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1500107684553
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1500107684553
java.vm.specification.version,sysinfo,,,"1.7",1500107684553
java.vm.vendor,sysinfo,,,"Oracle Corporation",1500107684553
java.vm.version,sysinfo,,,"24.79-b02",1500107684553
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1500107685193
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1500107685213
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1500107685387
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1500107685425
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1500107685485
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1500107686821
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1500107689472
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500107689805
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500107689843
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500107689875
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1500107689925
started,bundle,org.testng.eclipse,6.11.0.201703011520,"org.testng.eclipse",1500107690386
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1500107696908
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500107696910
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1500107698146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500107705674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500107708882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500107711840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500107723294
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500107723618
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500107723658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1500107729337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1500107729904
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1500107730927
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1500107734743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1500107735779
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1500107737709
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1500107737719
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1500107737829
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1500107737919
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1500107738101
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1500107738131
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1500107738185
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1500107738263
